lawer,lawer_tp
Останкинский город суд Кировской области,Останкинским городским судом Кировской области
Шахунский областной суд г. Пензы,Шахунским областным судом г. Пензы
Заокский кассационный суд города н.новгорода,Заокским кассационным судом города н.новгорода
Мытищинский городской суд г. Астрахани,Мытищинским городским судом г. Астрахани
Лакский межрайонный суд ХБ,Лакским межрайонным судом ХБ
Мамонтовский областной суд Сахалинской области,Мамонтовским областным судом Сахалинской области
Ямальский р-ый суд г. Новокузнецка,Ямальским р-ым судом г. Новокузнецка
Тукаевский межрайонный суд г. Братска,Тукаевским межрайонным судом г. Братска
Светлогорский город. суд Вологодской области,Светлогорским городским судом Вологодской области
Рамонский городской суд Курской области,Рамонским городским судом Курской области
Татарский районный суд ямало-ненецкого автономного округа,Татарским районным судом ямало-ненецкого автономного округа
Карагайский районный суд Калининградской области,Карагайским районным судом Калининградской области
Ивановский военный суд г. Саратова,Ивановским военным судом г. Саратова
Карабудахкентский военный суд Тульской области,Карабудахкентским военным судом Тульской области
Балахтинский межрайонный суд г. Омска,Балахтинским межрайонным судом г. Омска
Еланский районный суд г. Мурманска,Еланским районным судом г. Мурманска
Обливский областной суд Оренбургской области,Обливским областным судом Оренбургской области
Еманжелинский областной суд Тверской области,Еманжелинским областным судом Тверской области
Андроповский областной суд забайкальского края,Андроповским областным судом забайкальского края
Нижегородский апелляционный суд Псковской области,Нижегородским апелляционным судом Псковской области
Красночикойский городской суд Рязанской области,Красночикойским городским судом Рязанской области
Тавдинский районный суд Волгоградской обл.,Тавдинским районным судом Волгоградской обл.
Сокольский город суд г. Ставрополя,Сокольским городским судом г. Ставрополя
Пристенский областной суд г. Орла,Пристенским областным судом г. Орла
Краснокутский межрайонный суд г. Москвы,Краснокутским межрайонным судом г. Москвы
Унинский кассационный суд приморского края,Унинским кассационным судом приморского края
Братский кассационный суд города Санкт-петербурга,Братским кассационным судом города Санкт-петербурга
Окуловский город суд ставропольский край,Окуловским городским судом ставропольский край
Адамовский город суд республики Мордовия,Адамовским городским судом республики Мордовия
Пыталовский военный суд города Абакан,Пыталовским военным судом города Абакан
Порховский р-ый суд Рязанской области,Порховским р-ым судом Рязанской области
Нижнеломовский апелляционный суд города н.новгород,Нижнеломовским апелляционным судом города н.новгород
Городовиковский м-ый суд республики Хакасия,Городовиковским м-ым судом республики Хакасия
Абанский межрайонный суд УР,Абанским межрайонным судом УР
Одинцовский военный суд г. Прокопьевска,Одинцовским военным судом г. Прокопьевска
Балтасинский районный суд города н.новгорода,Балтасинским районным судом города н.новгорода
Галичский областной суд города Санкт-петербург И Ленинградской области,Галичским областным судом города Санкт-петербург И Ленинградской области
Анивский город суд г. Орла,Анивским городским судом г. Орла
Катав-ивановский районный суд города Каменск-уральского Свердловской области,Катав-ивановским районным судом города Каменск-уральского Свердловской области
Спасский городской суд г. Москвы,Спасским городским судом г. Москвы
Новотроицкий городской суд города н.новгорода,Новотроицким городским судом города н.новгорода
Мишкинский межрайонный суд Липецкой области,Мишкинским межрайонным судом Липецкой области
Устюженский город. суд г. Читы,Устюженским городским судом г. Читы
Вилючинский районный суд ЕАО,Вилючинским районным судом ЕАО
Бабушкинский город. суд города Сочи краснодарского края,Бабушкинским городским судом города Сочи краснодарского края
Зареченский районный суд г. Екатеринбурга Свердловской области,Зареченским районным судом г. Екатеринбурга Свердловской области
Шипуновский кассационный суд приморского края,Шипуновским кассационным судом приморского края
Кемеровский районный суд Ульяновской области,Кемеровским районным судом Ульяновской области
Шемышейский военный суд Свердловская область,Шемышейским военным судом Свердловская область
Лиманский кассационный суд Тверской области,Лиманским кассационным судом Тверской области
Александровский городской суд Сахалинской области,Александровским городским судом Сахалинской области
Балаганский кассационный суд Ростовской области,Балаганским кассационным судом Ростовской области
Исилькульский военный суд г. Владимира,Исилькульским военным судом г. Владимира
Солнечный межрайонный суд г. Санкт-петербурга,Солнечным межрайонным судом г. Санкт-петербурга
Вожегодский м-ый суд г. Тюмени,Вожегодским м-ым судом г. Тюмени
Сухиничский городской суд пермского края,Сухиничским городским судом пермского края
Жердевский военный суд г. Орска,Жердевским военным судом г. Орска
Ягоднинский областной суд Еврейской автономной области,Ягоднинским областным судом Еврейской автономной области
Хивский город суд республики Алтай,Хивским городским судом республики Алтай
Чишминский город. суд г. Новороссийска,Чишминским городским судом г. Новороссийска
Тернейский областной суд Санкт-петербурга,Тернейским областным судом Санкт-петербурга
Железногорский м-ый суд г. Липецка,Железногорским м-ым судом г. Липецка
Кетовский город. суд города Санкт-петербурга И ЛО,Кетовским городским судом города Санкт-петербурга И ЛО
Увинский районный суд московского округа,Увинским районным судом московского округа
Торбеевский кассационный суд города Азов,Торбеевским кассационным судом города Азов
Артемовский м-ый суд пермского края,Артемовским м-ым судом пермского края
Кош-агачский апелляционный суд г. Улан-удэ,Кош-агачским апелляционным судом г. Улан-удэ
Пролетарский город. суд РБ,Пролетарским городским судом РБ
Брасовский межрайонный суд Кабардино-балкарской республики,Брасовским межрайонным судом Кабардино-балкарской республики
Глушковский город суд чукотского автономного округа,Глушковским городским судом чукотского автономного округа
Чаа-хольский городской суд г. Ижевска,Чаа-хольским городским судом г. Ижевска
Бижбулякский р-ый суд г. нижний тагил,Бижбулякским р-ым судом г. нижний тагил
Нижнеудинский городской суд ХБ,Нижнеудинским городским судом ХБ
Мысковский военный суд республики Тыва,Мысковским военным судом республики Тыва
Тяжинский районный суд Орловской области,Тяжинским районным судом Орловской области
Усть-янский р-ый суд Челябинской области,Усть-янским р-ым судом Челябинской области
Лебяжьевский областной суд Калужской области,Лебяжьевским областным судом Калужской области
Хорошевский городской суд камчатского края,Хорошевским городским судом камчатского края
Уссурийский межрайонный суд города н.новгород,Уссурийским межрайонным судом города н.новгород
Кушвинский межрайонный суд г. Пензы,Кушвинским межрайонным судом г. Пензы
Белокурихинский город. суд республики Калмыкия,Белокурихинским городским судом республики Калмыкия
Красносулинский районный суд Белгородской обл.,Красносулинским районным судом Белгородской обл.
Притобольный апелляционный суд г. Новосибирска,Притобольным апелляционным судом г. Новосибирска
Ковровский районный суд города Абакан,Ковровским районным судом города Абакан
Юргамышский апелляционный суд г. Брянска,Юргамышским апелляционным судом г. Брянска
Среднеахтубинский город суд республики Татарстан,Среднеахтубинским городским судом республики Татарстан
Мичуринский городской суд Ульяновской области,Мичуринским городским судом Ульяновской области
Волжский межрайонный суд г. лесного,Волжским межрайонным судом г. лесного
Мордовский военный суд респ. Татарстан,Мордовским военным судом респ. Татарстан
Ровеньский городской суд г. Воронежа,Ровеньским городским судом г. Воронежа
Щучанский м-ый суд чувашской респ.,Щучанским м-ым судом чувашской респ.
Осташковский апелляционный суд Липецкой области,Осташковским апелляционным судом Липецкой области
Ванинский город суд г. Саранска,Ванинским городским судом г. Саранска
Вязниковский кассационный суд г. Воронежа,Вязниковским кассационным судом г. Воронежа
Судакский апелляционный суд Новосибирской области,Судакским апелляционным судом Новосибирской области
Бакчарский город суд Курганской области,Бакчарским городским судом Курганской области
Жигаловский городской суд Кировской области,Жигаловским городским судом Кировской области
Рыльский город суд республики Хакасия,Рыльским городским судом республики Хакасия
Кущевский кассационный суд Кировской области,Кущёвским кассационным судом Кировской области
Абинский кассационный суд города Санкт-петербурга И Ленинградской области,Абинским кассационным судом города Санкт-петербурга И Ленинградской области
Волховский межрайонный суд г. УФЫ,Волховским межрайонным судом г. УФЫ
Тоншаевский межрайонный суд г. Липецка,Тоншаевским межрайонным судом г. Липецка
Чертковский военный суд г. Анапа,Чертковским военным судом г. Анапа
Устиновский город суд республики Хакасия,Устиновским городским судом республики Хакасия
Ржаксинский апелляционный суд г. Абакан,Ржаксинским апелляционным судом г. Абакан
Нахимовский город суд республики Татарстан,Нахимовским городским судом республики Татарстан
Опочецкий апелляционный суд республики Коми,Опочецким апелляционным судом республики Коми
Варненский городской суд города Абакан,Варненским городским судом города Абакан
Тасеевский р-ый суд общей юрисдикции,Тасеевским р-ым судом общей юрисдикции
Шегарский р-ый суд г. Архангельска,Шегарским р-ым судом г. Архангельска
Качканарский город суд города н.новгорода,Качканарским городским судом города н.новгорода
Топчихинский военный суд города Казани,Топчихинским военным судом города Казани
Акеайский межрайонный суд ХБ,Акеайским межрайонным судом ХБ
Балезинский межрайонный суд Санкт-петербурга,Балезинским межрайонным судом Санкт-петербурга
Гаврилов-ямский город. суд Архангельской области,Гаврилов-ямским городским судом Архангельской области
Чернский город. суд Еврейской автономной области,Чернским городским судом Еврейской автономной области
Ярцевский кассационный суд респ.бурятия,Ярцевским кассационным судом респ.бурятия
Назрановский районный суд республики Адыгея,Назрановским районным судом республики Адыгея
Джейрахский кассационный суд Ростовской обл.,Джейрахским кассационным судом Ростовской обл.
Шарыповский кассационный суд ханты-мансийского автономного округа - югры,Шарыповским кассационным судом ханты-мансийского автономного округа - югры
Актанышский город суд Удмуртской республики,Актанышским городским судом Удмуртской республики
Мелеузовский межрайонный суд Ярославской области,Мелеузовским межрайонным судом Ярославской области
Тонкинский городской суд республика Калмыкия,Тонкинским городским судом республика Калмыкия
Димитровградский кассационный суд г. Тулы,Димитровградским кассационным судом г. Тулы
Россошанский районный суд Нижегородской области,Россошанским районным судом Нижегородской области
Краснофлотский город суд г. Казани,Краснофлотским городским судом г. Казани
Кимрский городской суд г. Ростова-на-дону,Кимирским городским судом г. Ростова-на-дону
Шумячский военный суд Ростовской обл.,Шумячским военным судом Ростовской обл.
Абдулинский апелляционный суд г. Краснодара,Абдулинским апелляционным судом г. Краснодара
Ивнянский апелляционный суд г. Владимира,Ивнянским апелляционным судом г. Владимира
Новокубанский городской суд г. Иркутска,Новокубанским городским судом г. Иркутска
Прохладненский городской суд Новгородской области,Прохладненским городским судом Новгородской области
Элистинский р-ый суд г. Сочи,Элистинским р-ым судом г. Сочи
Ветлужский областной суд города Сочи,Ветлужским областным судом города Сочи
Автозаводский м-ый суд хабаровского края,Автозаводским м-ым судом хабаровского края
Тюменцевский городской суд Амурской области,Тюменцевским городским судом Амурской области
Ворошиловский м-ый суд республики Бурятия,Ворошиловским м-ым судом республики Бурятия
Зубово-полянский межрайонный суд города н.новгорода,Зубово-полянским межрайонным судом города н.новгорода
Киселевский межрайонный суд Нижегородской области,Киселевским межрайонным судом Нижегородской области
Белоглинский город. суд Нижегородская обл.,Белоглинским городским судом Нижегородская обл.
Кизильский р-ый суд республика Калмыкия,Кизильским р-ым судом республика Калмыкия
Ряжский м-ый суд г. УФЫ,Ряжским м-ым судом г. УФЫ
Полярнозоринский городской суд чувашской респ.,Полярнозоринским городским судом чувашской респ.
Касимовский кассационный суд Нижегородской области,Касимовским кассационным судом Нижегородской области
Островский р-ый суд г. Новокузнецка,Островским р-ым судом г. Новокузнецка
Торопецкий межрайонный суд Астраханской области,Торопецким межрайонным судом Астраханской области
Пограничный военный суд города Санкт-петербурга И Ленинградской области,Пограничным военным судом города Санкт-петербурга И Ленинградской области
Черноярский районный суд республики Калмыкия,Черноярским районным судом республики Калмыкия
Большемурашкинский военный суд респ.хакасия,Большемурашкинским военным судом респ.хакасия
Кимрский кассационный суд г. Сочи,Кимрским кассационным судом г. Сочи
Дальнеконстантиновский районный суд г. Кирова,Дальнеконстантиновским районным судом г. Кирова
Гудермесский межрайонный суд г. Новосибирска,Гудермесским межрайонным судом г. Новосибирска
Нефтекумский областной суд Свердловской области,Нефтекумским областным судом Свердловской области
Сабинский межрайонный суд республики Бурятия,Сабинским межрайонным судом республики Бурятия
Инзенский город суд города Санкт-петербург,Инзенским городским судом города Санкт-петербург
Щекинский областной суд г. Новосибирска,Щекинским областным судом г. Новосибирска
Лаишевский военный суд г. Новосибирска,Лаишевским военным судом г. Новосибирска
Рыбинский город. суд г. Севастополя,Рыбинским городским судом г. Севастополя
Протвинский районный суд г. Курска,Протвинским районным судом г. Курска
Нолинский межрайонный суд Московской области,Нолинским межрайонным судом Московской области
Сергиевский областной суд г. Курска,Сергиевским областным судом г. Курска
Череповецкий городской суд г. Екатеринбурга,Череповецким городским судом г. Екатеринбурга
Невьянский районный суд ставропольский край,Невьянским районным судом ставропольский край
Ядринский областной суд Тамбовской области,Ядринским областным судом Тамбовской области
Суздальский городской суд города Саратова,Суздальским городским судом города Саратова
Парабельский м-ый суд хабаровского края,Парабельским м-ым судом хабаровского края
Абазинский межрайонный суд г. Ульяновска,Абазинским межрайонным судом г. Ульяновска
Сухоложский м-ый суд респ.хакасия,Сухоложским м-ым судом респ.хакасия
Камешковский военный суд г. нижний новгород,Камешковским военным судом г. нижний новгород
Саргатский межрайонный суд г. Пензы,Саргатским межрайонным судом г. Пензы
Аларский военный суд Свердловская область,Аларским военным судом Свердловская область
Зиминский военный суд красноярского КР.,Зиминским военным судом красноярского КР.
Никифоровский областной суд республики Карелия,Никифоровским областным судом республики Карелия
Новоалтайский город суд красноярского края,Новоалтайским городским судом красноярского края
Благодарненский межрайонный суд г. Махачкалы,Благодарненским межрайонным судом г. Махачкалы
Дульдургинский военный суд камчатского края,Дульдургинским военным судом камчатского края
Чекмагушевский кассационный суд г. Астрахани,Чекмагушевским кассационным судом г. Астрахани
Суксунский городской суд г. Волгоград,Суксунским городским судом г. Волгоград
Берёзовский районный суд КК,Берёзовским районным судом КК
Василеостровский городской суд республики Ингушетия,Василеостровским городским судом республики Ингушетия
Пошехонский город. суд города Саратова,Пошехонским городским судом города Саратова
Тымовский городской суд г. Новокузнецка,Тымовским городским судом г. Новокузнецка
Богатовский областной суд забайкальского края,Богатовским областным судом забайкальского края
Стругокрасненский кассационный суд г. Белгорода,Стругокрасненским кассационным судом г. Белгорода
Алданский апелляционный суд Белгородской обл.,Алданским апелляционным судом Белгородской обл.
Гайский город суд ЕАО,Гайским городским судом ЕАО
Клепиковский город. суд Свердловская область,Клепиковским городским судом Свердловская область
Чапаевский межрайонный суд камчатского края,Чапаевским межрайонным судом камчатского края
Бийский межрайонный суд Волгоградской области,Бийским межрайонным судом Волгоградской области
Мокроусовский апелляционный суд ставропольского края,Мокроусовским апелляционным судом ставропольского края
Родниковский город суд чувашской республики - чувашии,Родниковским городским судом чувашской республики - чувашии
Питкярантский районный суд Пензенская обл.,Питкярантским районным судом Пензенская обл.
Кропоткинский городской суд ханты-мансийского автономного округа - югры,Кропоткинским городским судом ханты-мансийского автономного округа - югры
Чаунский р-ый суд Ростовской области,Чаунским р-ым судом Ростовской области
Палласовский межрайонный суд города Санкт-петербург,Палласовским межрайонным судом города Санкт-петербург
Майминский районный суд Брянской области,Майминским районным судом Брянской области
Одоевский апелляционный суд красноярского КР.,Одоевским апелляционным судом красноярского КР.
Суровикинский апелляционный суд г. новая ляля,Суровикинским апелляционным судом г. новая ляля
Сафоновский районный суд г. Владикавказа,Сафоновским районным судом г. Владикавказа
Стерлитамакский районный суд г. Комсомольска-на-амуре,Стерлитамакским районным судом г. Комсомольска-на-амуре
Каменский м-ый суд пермского края,Каменским м-ым судом пермского края
Жуковский военный суд г. Краснодара,Жуковским военным судом г. Краснодара
Ножай-юртовский областной суд Владимирской области,Ножай-юртовским областным судом Владимирской области
Голышмановский городской суд г Санкт-петербурга,Голышмановским городским судом г Санкт-петербурга
Таганский военный суд г. УФЫ,Таганским военным судом г. УФЫ
Киришский районный суд г. Екатеринбурга,Киришским районным судом г. Екатеринбурга
Колосовский кассационный суд Ульяновской области,Колосовским кассационным судом Ульяновской области
Омутинский р-ый суд республики Коми,Омутинским р-ым судом республики Коми
Кисловодский кассационный суд республики Дагестан,Кисловодским кассационным судом республики Дагестан
Мышкинский город. суд г. Архангельска,Мышкинским городским судом г. Архангельска
Нововаршавский р-ый суд г. Грозного,Нововаршавским р-ым судом г. Грозного
Нижнеомский межрайонный суд г. Курска,Нижнеомским межрайонным судом г. Курска
Бурлинский апелляционный суд красноярского КР.,Бурлинским апелляционным судом красноярского КР.
Корткеросский областной суд города Екатеринбурга Свердловской области,Корткеросским областным судом города Екатеринбурга Свердловской области
Инжавинский р-ый суд Еврейской автономной области,Инжавинским р-ым судом Еврейской автономной области
Мошковский р-ый суд Московской области,Мошковским р-ым судом Московской области
Пятый кассационный суд Ленинградской области,Пятым кассационным судом Ленинградской области
Ясненский кассационный суд cаратовской области,Ясненским кассационным судом cаратовской области
Ужурский р-ый суд Самарской области,Ужурским р-ым судом Самарской области
Тоцкий военный суд Ростовской обл.,Тоцким военным судом Ростовской обл.
Кичменгско-городецкий м-ый суд г. Тольятти,Кичменгско-городецким м-ым судом г. Тольятти
Лотошинский областной суд респ.татарстан,Лотошинским областным судом респ.татарстан
Снежинский межрайонный суд Нижегородская обл.,Снежинским межрайонным судом Нижегородская обл.
Дрожжановский м-ый суд города Сочи краснодарского края,Дрожжановским м-ым судом города Сочи краснодарского края
Джанкойский межрайонный суд г. Орска,Джанкойским межрайонным судом г. Орска
Навашинский город суд г. Анапа,Навашинским городским судом г. Анапа
Новолакский областной суд АК,Новолакским областным судом АК
Невинномысский кассационный суд московского округа,Невинномысским кассационным судом московского округа
Ключевский районный суд г. Томска,Ключевским районным судом г. Томска
Конышевский межрайонный суд чувашской республики,Конышевским межрайонным судом чувашской республики
Мамско-чуйский р-ый суд г. Балахна,Мамско-чуйским р-ым судом г. Балахна
Чунский город суд ХБ,Чунским городским судом ХБ
Муромцевский областной суд красноярского КР.,Муромцевским областным судом красноярского КР.
Северобайкальский р-ый суд Нижегородской области,Северобайкальским р-ым судом Нижегородской области
Гергебильский кассационный суд Севастополя,Гергебильским кассационным судом Севастополя
Кувандыкский м-ый суд г. Севастополя,Кувандыкским м-ым судом г. Севастополя
Залесовский областной суд республики Коми,Залесовским областным судом республики Коми
Буйнакский городской суд г. Санкт-петербурга,Буйнакским городским судом г. Санкт-петербурга
Гулькевичский городской суд чукотского автономного округа,Гулькевичским городским судом чукотского автономного округа
Нагатинский м-ый суд г. Чебоксары,Нагатинским м-ым судом г. Чебоксары
Сараевский город суд респ. Башкортостан,Сараевским городским судом респ. Башкортостан
Ивдельский город. суд города Саратова,Ивдельским городским судом города Саратова
Североуральский р-ый суд респ. Башкортостан,Североуральским р-ым судом респ. Башкортостан
Ачхой-мартановский кассационный суд республики Саха,Ачхой-мартановским кассационным судом республики Саха
Кологривский м-ый суд г. нижний новгород,Кологривским м-ым судом г. нижний новгород
Кореневский городской суд респ.крым,Кореневским городским судом респ.крым
Новгородский город. суд Карачаево-черкесской республики,Новгородским городским судом Карачаево-черкесской республики
Дивеевский областной суд ЕАО,Дивеевским областным судом ЕАО
Псковский областной суд города Санкт-петербург И Ленинградской области,Псковским областным судом города Санкт-петербург И Ленинградской области
Приморский город. суд Новгородской области,Приморским городским судом Новгородской области
Иультинский военный суд города Казани,Иультинским военным судом города Казани
Адлерский город суд г. Ростова-на-дону,Адлерским городским судом г. Ростова-на-дону
Мучкапский военный суд города Санкт-петербург И Ленинградской области,Мучкапским военным судом города Санкт-петербург И Ленинградской области
Болховский межрайонный суд города н.новгорода,Болховским межрайонным судом города н.новгорода
Привокзальный город суд алтайского края,Привокзальным городским судом алтайского края
Дивногорский апелляционный суд республики Саха (якутия),Дивногорским апелляционным судом республики Саха (якутия)
Билибинский апелляционный суд республики Коми,Билибинским апелляционным судом республики Коми
Кваркенский районный суд города Севастополь,Кваркенским районным судом города Севастополь
Саянский кассационный суд алтайского края,Саянским кассационным судом алтайского края
Богучанский город. суд г. Тамбова,Богучанским городским судом г. Тамбова
Дигорский город суд Волгоградской области,Дигорским городским судом Волгоградской области
Шушенский город суд г. Ставрополя,Шушенским городским судом г. Ставрополя
Меленковский районный суд Новгородской области,Меленковским районным судом Новгородской области
Горьковский военный суд города Екатеринбурга Свердловской области,Горьковским военным судом города Екатеринбурга Свердловской области
Тульский город. суд Калужской области,Тульским городским судом Калужской области
Теучежский городской суд г. Омска,Теучежским городским судом г. Омска
Велижский р-ый суд г. нижний новгород,Велижским р-ым судом г. нижний новгород
Эльбрусский апелляционный суд республики Хакасия,Эльбрусским апелляционным судом республики Хакасия
Верховский р-ый суд приморского края,Верховским р-ым судом приморского края
Промышленный город. суд Саратовской области,Промышленным городским судом Саратовской области
Артемовский районный суд Смоленской области,Артёмовским районным судом Смоленской области
Пензенский межрайонный суд г. Екатеринбурга Свердловской области,Пензенским межрайонным судом г. Екатеринбурга Свердловской области
